"Anfangsbezirk_Nr","Jahr","Anfangsbezirk","Umzugsbezirk","Anzahl"
"1",2005,"01 Altstadt - Lehel","01 Altstadt - Lehel",262
"1",2005,"01 Altstadt - Lehel","02 Ludwigsvorstadt - Isarvorstadt",179
"1",2005,"01 Altstadt - Lehel","03 Maxvorstadt",108
"1",2005,"01 Altstadt - Lehel","04 Schwabing - West",113
"1",2005,"01 Altstadt - Lehel","05 Au - Haidhausen",159
"1",2005,"01 Altstadt - Lehel","06 Sendling",54
"1",2005,"01 Altstadt - Lehel","07 Sendling - Westpark",39
"1",2005,"01 Altstadt - Lehel","08 Schwanthalerhöhe",22
"1",2005,"01 Altstadt - Lehel","09 Neuhausen - Nymphenburg",106
"1",2005,"01 Altstadt - Lehel","10 Moosach",23
"1",2005,"01 Altstadt - Lehel","11 Milbertshofen - Am Hart",58
"1",2005,"01 Altstadt - Lehel","12 Schwabing - Freimann",113
"1",2005,"01 Altstadt - Lehel","13 Bogenhausen",117
"1",2005,"01 Altstadt - Lehel","14 Berg am Laim",36
"1",2005,"01 Altstadt - Lehel","15 Trudering - Riem",39
"1",2005,"01 Altstadt - Lehel","16 Ramersdorf - Perlach",99
"1",2005,"01 Altstadt - Lehel","17 Obergiesing - Fasangarten",60
"1",2005,"01 Altstadt - Lehel","18 Untergiesing - Harlaching",56
"1",2005,"01 Altstadt - Lehel","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",49
"1",2005,"01 Altstadt - Lehel","20 Hadern",28
"1",2005,"01 Altstadt - Lehel","21 Pasing - Obermenzing",35
"1",2005,"01 Altstadt - Lehel","22 Aubing - Lochhausen - Langwied",24
"1",2005,"01 Altstadt - Lehel","23 Allach - Untermenzing",11
"1",2005,"01 Altstadt - Lehel","24 Feldmoching - Hasenbergl",44
"1",2005,"01 Altstadt - Lehel","25 Laim",47
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","01 Altstadt - Lehel",145
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","02 Ludwigsvorstadt - Isarvorstadt",1078
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","03 Maxvorstadt",271
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","04 Schwabing - West",195
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","05 Au - Haidhausen",392
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","06 Sendling",285
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","07 Sendling - Westpark",210
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","08 Schwanthalerhöhe",198
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","09 Neuhausen - Nymphenburg",313
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","10 Moosach",96
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","11 Milbertshofen - Am Hart",215
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","12 Schwabing - Freimann",185
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","13 Bogenhausen",221
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","14 Berg am Laim",126
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","15 Trudering - Riem",131
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","16 Ramersdorf - Perlach",282
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","17 Obergiesing - Fasangarten",186
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","18 Untergiesing - Harlaching",292
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",244
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","20 Hadern",88
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","21 Pasing - Obermenzing",153
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","22 Aubing - Lochhausen - Langwied",79
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","23 Allach - Untermenzing",45
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","24 Feldmoching - Hasenbergl",91
"2",2005,"02 Ludwigsvorstadt - Isarvorstadt","25 Laim",162
"3",2005,"03 Maxvorstadt","01 Altstadt - Lehel",120
"3",2005,"03 Maxvorstadt","02 Ludwigsvorstadt - Isarvorstadt",332
"3",2005,"03 Maxvorstadt","03 Maxvorstadt",860
"3",2005,"03 Maxvorstadt","04 Schwabing - West",602
"3",2005,"03 Maxvorstadt","05 Au - Haidhausen",232
"3",2005,"03 Maxvorstadt","06 Sendling",127
"3",2005,"03 Maxvorstadt","07 Sendling - Westpark",115
"3",2005,"03 Maxvorstadt","08 Schwanthalerhöhe",85
"3",2005,"03 Maxvorstadt","09 Neuhausen - Nymphenburg",439
"3",2005,"03 Maxvorstadt","10 Moosach",102
"3",2005,"03 Maxvorstadt","11 Milbertshofen - Am Hart",223
"3",2005,"03 Maxvorstadt","12 Schwabing - Freimann",336
"3",2005,"03 Maxvorstadt","13 Bogenhausen",190
"3",2005,"03 Maxvorstadt","14 Berg am Laim",92
"3",2005,"03 Maxvorstadt","15 Trudering - Riem",104
"3",2005,"03 Maxvorstadt","16 Ramersdorf - Perlach",144
"3",2005,"03 Maxvorstadt","17 Obergiesing - Fasangarten",128
"3",2005,"03 Maxvorstadt","18 Untergiesing - Harlaching",127
"3",2005,"03 Maxvorstadt","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",138
"3",2005,"03 Maxvorstadt","20 Hadern",68
"3",2005,"03 Maxvorstadt","21 Pasing - Obermenzing",98
"3",2005,"03 Maxvorstadt","22 Aubing - Lochhausen - Langwied",33
"3",2005,"03 Maxvorstadt","23 Allach - Untermenzing",41
"3",2005,"03 Maxvorstadt","24 Feldmoching - Hasenbergl",79
"3",2005,"03 Maxvorstadt","25 Laim",149
"4",2005,"04 Schwabing - West","01 Altstadt - Lehel",94
"4",2005,"04 Schwabing - West","02 Ludwigsvorstadt - Isarvorstadt",242
"4",2005,"04 Schwabing - West","03 Maxvorstadt",443
"4",2005,"04 Schwabing - West","04 Schwabing - West",1167
"4",2005,"04 Schwabing - West","05 Au - Haidhausen",189
"4",2005,"04 Schwabing - West","06 Sendling",101
"4",2005,"04 Schwabing - West","07 Sendling - Westpark",109
"4",2005,"04 Schwabing - West","08 Schwanthalerhöhe",110
"4",2005,"04 Schwabing - West","09 Neuhausen - Nymphenburg",381
"4",2005,"04 Schwabing - West","10 Moosach",142
"4",2005,"04 Schwabing - West","11 Milbertshofen - Am Hart",435
"4",2005,"04 Schwabing - West","12 Schwabing - Freimann",488
"4",2005,"04 Schwabing - West","13 Bogenhausen",239
"4",2005,"04 Schwabing - West","14 Berg am Laim",68
"4",2005,"04 Schwabing - West","15 Trudering - Riem",104
"4",2005,"04 Schwabing - West","16 Ramersdorf - Perlach",151
"4",2005,"04 Schwabing - West","17 Obergiesing - Fasangarten",122
"4",2005,"04 Schwabing - West","18 Untergiesing - Harlaching",149
"4",2005,"04 Schwabing - West","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",110
"4",2005,"04 Schwabing - West","20 Hadern",66
"4",2005,"04 Schwabing - West","21 Pasing - Obermenzing",100
"4",2005,"04 Schwabing - West","22 Aubing - Lochhausen - Langwied",72
"4",2005,"04 Schwabing - West","23 Allach - Untermenzing",41
"4",2005,"04 Schwabing - West","24 Feldmoching - Hasenbergl",140
"4",2005,"04 Schwabing - West","25 Laim",114
"5",2005,"05 Au - Haidhausen","01 Altstadt - Lehel",131
"5",2005,"05 Au - Haidhausen","02 Ludwigsvorstadt - Isarvorstadt",364
"5",2005,"05 Au - Haidhausen","03 Maxvorstadt",193
"5",2005,"05 Au - Haidhausen","04 Schwabing - West",178
"5",2005,"05 Au - Haidhausen","05 Au - Haidhausen",1356
"5",2005,"05 Au - Haidhausen","06 Sendling",143
"5",2005,"05 Au - Haidhausen","07 Sendling - Westpark",120
"5",2005,"05 Au - Haidhausen","08 Schwanthalerhöhe",99
"5",2005,"05 Au - Haidhausen","09 Neuhausen - Nymphenburg",245
"5",2005,"05 Au - Haidhausen","10 Moosach",123
"5",2005,"05 Au - Haidhausen","11 Milbertshofen - Am Hart",124
"5",2005,"05 Au - Haidhausen","12 Schwabing - Freimann",149
"5",2005,"05 Au - Haidhausen","13 Bogenhausen",335
"5",2005,"05 Au - Haidhausen","14 Berg am Laim",178
"5",2005,"05 Au - Haidhausen","15 Trudering - Riem",210
"5",2005,"05 Au - Haidhausen","16 Ramersdorf - Perlach",386
"5",2005,"05 Au - Haidhausen","17 Obergiesing - Fasangarten",307
"5",2005,"05 Au - Haidhausen","18 Untergiesing - Harlaching",299
"5",2005,"05 Au - Haidhausen","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",201
"5",2005,"05 Au - Haidhausen","20 Hadern",67
"5",2005,"05 Au - Haidhausen","21 Pasing - Obermenzing",94
"5",2005,"05 Au - Haidhausen","22 Aubing - Lochhausen - Langwied",38
"5",2005,"05 Au - Haidhausen","23 Allach - Untermenzing",36
"5",2005,"05 Au - Haidhausen","24 Feldmoching - Hasenbergl",58
"5",2005,"05 Au - Haidhausen","25 Laim",113
"6",2005,"06 Sendling","01 Altstadt - Lehel",35
"6",2005,"06 Sendling","02 Ludwigsvorstadt - Isarvorstadt",227
"6",2005,"06 Sendling","03 Maxvorstadt",93
"6",2005,"06 Sendling","04 Schwabing - West",81
"6",2005,"06 Sendling","05 Au - Haidhausen",127
"6",2005,"06 Sendling","06 Sendling",606
"6",2005,"06 Sendling","07 Sendling - Westpark",335
"6",2005,"06 Sendling","08 Schwanthalerhöhe",128
"6",2005,"06 Sendling","09 Neuhausen - Nymphenburg",154
"6",2005,"06 Sendling","10 Moosach",57
"6",2005,"06 Sendling","11 Milbertshofen - Am Hart",127
"6",2005,"06 Sendling","12 Schwabing - Freimann",123
"6",2005,"06 Sendling","13 Bogenhausen",88
"6",2005,"06 Sendling","14 Berg am Laim",73
"6",2005,"06 Sendling","15 Trudering - Riem",86
"6",2005,"06 Sendling","16 Ramersdorf - Perlach",198
"6",2005,"06 Sendling","17 Obergiesing - Fasangarten",143
"6",2005,"06 Sendling","18 Untergiesing - Harlaching",123
"6",2005,"06 Sendling","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",364
"6",2005,"06 Sendling","20 Hadern",159
"6",2005,"06 Sendling","21 Pasing - Obermenzing",74
"6",2005,"06 Sendling","22 Aubing - Lochhausen - Langwied",63
"6",2005,"06 Sendling","23 Allach - Untermenzing",39
"6",2005,"06 Sendling","24 Feldmoching - Hasenbergl",76
"6",2005,"06 Sendling","25 Laim",135
"7",2005,"07 Sendling - Westpark","01 Altstadt - Lehel",29
"7",2005,"07 Sendling - Westpark","02 Ludwigsvorstadt - Isarvorstadt",127
"7",2005,"07 Sendling - Westpark","03 Maxvorstadt",79
"7",2005,"07 Sendling - Westpark","04 Schwabing - West",107
"7",2005,"07 Sendling - Westpark","05 Au - Haidhausen",85
"7",2005,"07 Sendling - Westpark","06 Sendling",246
"7",2005,"07 Sendling - Westpark","07 Sendling - Westpark",1004
"7",2005,"07 Sendling - Westpark","08 Schwanthalerhöhe",87
"7",2005,"07 Sendling - Westpark","09 Neuhausen - Nymphenburg",134
"7",2005,"07 Sendling - Westpark","10 Moosach",61
"7",2005,"07 Sendling - Westpark","11 Milbertshofen - Am Hart",154
"7",2005,"07 Sendling - Westpark","12 Schwabing - Freimann",71
"7",2005,"07 Sendling - Westpark","13 Bogenhausen",117
"7",2005,"07 Sendling - Westpark","14 Berg am Laim",78
"7",2005,"07 Sendling - Westpark","15 Trudering - Riem",95
"7",2005,"07 Sendling - Westpark","16 Ramersdorf - Perlach",213
"7",2005,"07 Sendling - Westpark","17 Obergiesing - Fasangarten",130
"7",2005,"07 Sendling - Westpark","18 Untergiesing - Harlaching",142
"7",2005,"07 Sendling - Westpark","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",417
"7",2005,"07 Sendling - Westpark","20 Hadern",313
"7",2005,"07 Sendling - Westpark","21 Pasing - Obermenzing",103
"7",2005,"07 Sendling - Westpark","22 Aubing - Lochhausen - Langwied",61
"7",2005,"07 Sendling - Westpark","23 Allach - Untermenzing",23
"7",2005,"07 Sendling - Westpark","24 Feldmoching - Hasenbergl",60
"7",2005,"07 Sendling - Westpark","25 Laim",159
"8",2005,"08 Schwanthalerhöhe","01 Altstadt - Lehel",31
"8",2005,"08 Schwanthalerhöhe","02 Ludwigsvorstadt - Isarvorstadt",163
"8",2005,"08 Schwanthalerhöhe","03 Maxvorstadt",85
"8",2005,"08 Schwanthalerhöhe","04 Schwabing - West",101
"8",2005,"08 Schwanthalerhöhe","05 Au - Haidhausen",90
"8",2005,"08 Schwanthalerhöhe","06 Sendling",120
"8",2005,"08 Schwanthalerhöhe","07 Sendling - Westpark",145
"8",2005,"08 Schwanthalerhöhe","08 Schwanthalerhöhe",577
"8",2005,"08 Schwanthalerhöhe","09 Neuhausen - Nymphenburg",183
"8",2005,"08 Schwanthalerhöhe","10 Moosach",93
"8",2005,"08 Schwanthalerhöhe","11 Milbertshofen - Am Hart",111
"8",2005,"08 Schwanthalerhöhe","12 Schwabing - Freimann",93
"8",2005,"08 Schwanthalerhöhe","13 Bogenhausen",84
"8",2005,"08 Schwanthalerhöhe","14 Berg am Laim",58
"8",2005,"08 Schwanthalerhöhe","15 Trudering - Riem",59
"8",2005,"08 Schwanthalerhöhe","16 Ramersdorf - Perlach",96
"8",2005,"08 Schwanthalerhöhe","17 Obergiesing - Fasangarten",71
"8",2005,"08 Schwanthalerhöhe","18 Untergiesing - Harlaching",74
"8",2005,"08 Schwanthalerhöhe","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",116
"8",2005,"08 Schwanthalerhöhe","20 Hadern",88
"8",2005,"08 Schwanthalerhöhe","21 Pasing - Obermenzing",125
"8",2005,"08 Schwanthalerhöhe","22 Aubing - Lochhausen - Langwied",60
"8",2005,"08 Schwanthalerhöhe","23 Allach - Untermenzing",16
"8",2005,"08 Schwanthalerhöhe","24 Feldmoching - Hasenbergl",61
"8",2005,"08 Schwanthalerhöhe","25 Laim",146
"9",2005,"09 Neuhausen - Nymphenburg","01 Altstadt - Lehel",87
"9",2005,"09 Neuhausen - Nymphenburg","02 Ludwigsvorstadt - Isarvorstadt",286
"9",2005,"09 Neuhausen - Nymphenburg","03 Maxvorstadt",322
"9",2005,"09 Neuhausen - Nymphenburg","04 Schwabing - West",387
"9",2005,"09 Neuhausen - Nymphenburg","05 Au - Haidhausen",213
"9",2005,"09 Neuhausen - Nymphenburg","06 Sendling",199
"9",2005,"09 Neuhausen - Nymphenburg","07 Sendling - Westpark",218
"9",2005,"09 Neuhausen - Nymphenburg","08 Schwanthalerhöhe",191
"9",2005,"09 Neuhausen - Nymphenburg","09 Neuhausen - Nymphenburg",2474
"9",2005,"09 Neuhausen - Nymphenburg","10 Moosach",381
"9",2005,"09 Neuhausen - Nymphenburg","11 Milbertshofen - Am Hart",340
"9",2005,"09 Neuhausen - Nymphenburg","12 Schwabing - Freimann",273
"9",2005,"09 Neuhausen - Nymphenburg","13 Bogenhausen",207
"9",2005,"09 Neuhausen - Nymphenburg","14 Berg am Laim",114
"9",2005,"09 Neuhausen - Nymphenburg","15 Trudering - Riem",148
"9",2005,"09 Neuhausen - Nymphenburg","16 Ramersdorf - Perlach",292
"9",2005,"09 Neuhausen - Nymphenburg","17 Obergiesing - Fasangarten",164
"9",2005,"09 Neuhausen - Nymphenburg","18 Untergiesing - Harlaching",208
"9",2005,"09 Neuhausen - Nymphenburg","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",256
"9",2005,"09 Neuhausen - Nymphenburg","20 Hadern",148
"9",2005,"09 Neuhausen - Nymphenburg","21 Pasing - Obermenzing",438
