"Anfangsbezirk_Nr","Anfangsbezirk","innerstaedtisch","Jahr","außerstaedtisch","insgesamt"
"1","Altstadt - Lehel",1881,2005,1317,3198
"2","Ludwigsvorstadt - Isarvorstadt",5683,2005,4046,9729
"3","Maxvorstadt",4964,2005,3100,8064
"4","Schwabing - West",5377,2005,3566,8943
"5","Au - Haidhausen",5547,2005,3276,8823
"6","Sendling",3714,2005,2131,5845
"7","Sendling - Westpark",4095,2005,2207,6302
"8","Schwanthalerhöhe",2846,2005,1623,4469
"9","Neuhausen - Nymphenburg",8093,2005,5030,13123
"10","Moosach",3601,2005,2578,6179
"11","Milbertshofen - Am Hart",6624,2005,4413,11037
"12","Schwabing - Freimann",6034,2005,4482,10516
"13","Bogenhausen",5330,2005,3973,9303
"14","Berg am Laim",3256,2005,1932,5188
"15","Trudering - Riem",3291,2005,2929,6220
"16","Ramersdorf - Perlach",7355,2005,4478,11833
"17","Obergiesing - Fasangarten",4203,2005,3115,7318
"18","Untergiesing - Harlaching",4569,2005,2742,7311
"19","Thalkirchen",6199,2005,4593,10792
"20","Hadern",3047,2005,1917,4964
"21","Pasing - Obermenzing",4672,2005,3505,8177
"22","Aubing",2419,2005,1735,4154
"23","Allach - Untermenzing",1697,2005,1501,3198
"24","Feldmoching - Hasenbergl",3698,2005,2882,6580
"25","Laim",4108,2005,2212,6320
"1","Altstadt - Lehel",1902,2006,1587,3489
"2","Ludwigsvorstadt - Isarvorstadt",5456,2006,4205,9661
"3","Maxvorstadt",5054,2006,3807,8861
"4","Schwabing - West",5444,2006,3993,9437
"5","Au - Haidhausen",5398,2006,3460,8858
"6","Sendling",3600,2006,2341,5941
"7","Sendling - Westpark",3949,2006,2497,6446
"8","Schwanthalerhöhe",2633,2006,1765,4398
"9","Neuhausen - Nymphenburg",7718,2006,5179,12897
"10","Moosach",3331,2006,2745,6076
"11","Milbertshofen - Am Hart",6493,2006,4390,10883
"12","Schwabing - Freimann",5779,2006,4650,10429
"13","Bogenhausen",5206,2006,4410,9616
"14","Berg am Laim",3107,2006,2033,5140
"15","Trudering - Riem",3229,2006,3056,6285
"16","Ramersdorf - Perlach",6944,2006,5365,12309
"17","Obergiesing - Fasangarten",4261,2006,3426,7687
"18","Untergiesing - Harlaching",4374,2006,2892,7266
"19","Thalkirchen",6203,2006,5099,11302
"20","Hadern",2893,2006,2021,4914
"21","Pasing - Obermenzing",4257,2006,3472,7729
"22","Aubing",2334,2006,1815,4149
"23","Allach - Untermenzing",1840,2006,1628,3468
"24","Feldmoching - Hasenbergl",3614,2006,3228,6842
"25","Laim",3981,2006,2436,6417
"1","Altstadt - Lehel",1907,2007,1341,3248
"2","Ludwigsvorstadt - Isarvorstadt",5646,2007,4152,9798
"3","Maxvorstadt",5273,2007,3578,8851
"4","Schwabing - West",5785,2007,3589,9374
"5","Au - Haidhausen",5510,2007,3266,8776
"6","Sendling",3665,2007,2132,5797
"7","Sendling - Westpark",4183,2007,2407,6590
"8","Schwanthalerhöhe",2778,2007,1567,4345
"9","Neuhausen - Nymphenburg",8122,2007,4772,12894
"10","Moosach",3579,2007,2547,6126
"11","Milbertshofen - Am Hart",7116,2007,4309,11425
"12","Schwabing - Freimann",5774,2007,4322,10096
"13","Bogenhausen",5471,2007,3893,9364
"14","Berg am Laim",3416,2007,2059,5475
"15","Trudering - Riem",3630,2007,2943,6573
"16","Ramersdorf - Perlach",7424,2007,4949,12373
"17","Obergiesing - Fasangarten",4363,2007,3588,7951
"18","Untergiesing - Harlaching",4677,2007,2715,7392
"19","Thalkirchen",6577,2007,4863,11440
"20","Hadern",3116,2007,1951,5067
"21","Pasing - Obermenzing",4702,2007,3248,7950
"22","Aubing",2291,2007,1702,3993
"23","Allach - Untermenzing",1714,2007,1439,3153
"24","Feldmoching - Hasenbergl",3810,2007,2681,6491
"25","Laim",4188,2007,2291,6479
"1","Altstadt - Lehel",1906,2008,1488,3394
