"Anfangsbezirk_Nr","Anfangsbezirk","innerstaedtisch","Jahr","außerstaedtisch","insgesamt","selber_Bezirk","Nachbarbezirke","Restbezirke"
"1","Altstadt - Lehel",1881,2005,1317,3198,262,676,943
"2","Ludwigsvorstadt - Isarvorstadt",5683,2005,4046,9729,1078,1191,3414
"3","Maxvorstadt",4964,2005,3100,8064,860,1578,2526
"4","Schwabing - West",5377,2005,3566,8943,1167,1747,2463
"5","Au - Haidhausen",5547,2005,3276,8823,1356,1614,2577
"6","Sendling",3714,2005,2131,5845,606,1177,1931
"7","Sendling - Westpark",4095,2005,2207,6302,1004,1222,1869
"8","Schwanthalerhöhe",2846,2005,1623,4469,577,842,1427
"9","Neuhausen - Nymphenburg",8093,2005,5030,13123,2474,2353,3266
"10","Moosach",3601,2005,2578,6179,989,1072,1540
"11","Milbertshofen - Am Hart",6624,2005,4413,11037,2335,1765,2524
"12","Schwabing - Freimann",6034,2005,4482,10516,1520,1813,2701
"13","Bogenhausen",5330,2005,3973,9303,1969,1180,2181
"14","Berg am Laim",3256,2005,1932,5188,651,1215,1390
"15","Trudering - Riem",3291,2005,2929,6220,1243,716,1332
"16","Ramersdorf - Perlach",7355,2005,4478,11833,2452,1802,3101
"17","Obergiesing - Fasangarten",4203,2005,3115,7318,995,961,2247
"18","Untergiesing - Harlaching",4569,2005,2742,7311,1135,1315,2119
"19","Thalkirchen",6199,2005,4593,10792,2074,1127,2998
"20","Hadern",3047,2005,1917,4964,1024,772,1251
"21","Pasing - Obermenzing",4672,2005,3505,8177,1432,1208,2032
"22","Aubing",2419,2005,1735,4154,783,358,1278
"23","Allach - Untermenzing",1697,2005,1501,3198,545,414,738
"24","Feldmoching - Hasenbergl",3698,2005,2882,6580,1291,812,1595
"25","Laim",4108,2005,2212,6320,1008,1134,1966
"1","Altstadt - Lehel",1902,2006,1587,3489,313,667,922
"2","Ludwigsvorstadt - Isarvorstadt",5456,2006,4205,9661,1177,1129,3150
"3","Maxvorstadt",5054,2006,3807,8861,975,1602,2477
"4","Schwabing - West",5444,2006,3993,9437,1418,1618,2408
"5","Au - Haidhausen",5398,2006,3460,8858,1469,1403,2526
"6","Sendling",3600,2006,2341,5941,797,1095,1708
"7","Sendling - Westpark",3949,2006,2497,6446,1041,1083,1825
"8","Schwanthalerhöhe",2633,2006,1765,4398,652,729,1252
"9","Neuhausen - Nymphenburg",7718,2006,5179,12897,2447,2336,2935
"10","Moosach",3331,2006,2745,6076,965,981,1385
"11","Milbertshofen - Am Hart",6493,2006,4390,10883,2131,1858,2504
"12","Schwabing - Freimann",5779,2006,4650,10429,1709,1749,2321
"13","Bogenhausen",5206,2006,4410,9616,2060,1042,2104
"14","Berg am Laim",3107,2006,2033,5140,739,1087,1281
"15","Trudering - Riem",3229,2006,3056,6285,1312,663,1254
"16","Ramersdorf - Perlach",6944,2006,5365,12309,2576,1714,2654
"17","Obergiesing - Fasangarten",4261,2006,3426,7687,1109,967,2185
"18","Untergiesing - Harlaching",4374,2006,2892,7266,1166,1151,2057
"19","Thalkirchen",6203,2006,5099,11302,2309,973,2921
"20","Hadern",2893,2006,2021,4914,961,693,1239
"21","Pasing - Obermenzing",4257,2006,3472,7729,1374,1125,1758
"22","Aubing",2334,2006,1815,4149,923,311,1100
"23","Allach - Untermenzing",1840,2006,1628,3468,653,400,787
"24","Feldmoching - Hasenbergl",3614,2006,3228,6842,1424,616,1574
"25","Laim",3981,2006,2436,6417,1124,942,1915
"1","Altstadt - Lehel",1907,2007,1341,3248,369,664,874
"2","Ludwigsvorstadt - Isarvorstadt",5646,2007,4152,9798,1379,1228,3039
"3","Maxvorstadt",5273,2007,3578,8851,1306,1506,2461
"4","Schwabing - West",5785,2007,3589,9374,1742,1662,2381
"5","Au - Haidhausen",5510,2007,3266,8776,1703,1511,2296
"6","Sendling",3665,2007,2132,5797,890,1074,1701
"7","Sendling - Westpark",4183,2007,2407,6590,1246,1114,1823
"8","Schwanthalerhöhe",2778,2007,1567,4345,815,722,1241
"9","Neuhausen - Nymphenburg",8122,2007,4772,12894,2885,2204,3033
"10","Moosach",3579,2007,2547,6126,1200,1070,1309
"11","Milbertshofen - Am Hart",7116,2007,4309,11425,2672,1921,2523
"12","Schwabing - Freimann",5774,2007,4322,10096,1866,1579,2329
"13","Bogenhausen",5471,2007,3893,9364,2318,1048,2105
"14","Berg am Laim",3416,2007,2059,5475,1060,1125,1231
"15","Trudering - Riem",3630,2007,2943,6573,1764,618,1248
"16","Ramersdorf - Perlach",7424,2007,4949,12373,3001,1625,2798
"17","Obergiesing - Fasangarten",4363,2007,3588,7951,1214,927,2222
"18","Untergiesing - Harlaching",4677,2007,2715,7392,1562,1118,1997
"19","Thalkirchen",6577,2007,4863,11440,2725,968,2884
"20","Hadern",3116,2007,1951,5067,1111,694,1311
"21","Pasing - Obermenzing",4702,2007,3248,7950,1807,1153,1742
"22","Aubing",2291,2007,1702,3993,889,287,1115
"23","Allach - Untermenzing",1714,2007,1439,3153,680,383,651
"24","Feldmoching - Hasenbergl",3810,2007,2681,6491,1741,595,1474
"25","Laim",4188,2007,2291,6479,1315,1043,1830
"1","Altstadt - Lehel",1906,2008,1488,3394,315,721,870
"2","Ludwigsvorstadt - Isarvorstadt",5791,2008,4262,10053,1370,1214,3207
"3","Maxvorstadt",5326,2008,3567,8893,1149,1697,2480
"4","Schwabing - West",5859,2008,3969,9828,1595,1719,2545
"5","Au - Haidhausen",5520,2008,3420,8940,1639,1544,2337
"6","Sendling",3783,2008,2339,6122,835,1199,1749
"7","Sendling - Westpark",4304,2008,2593,6897,1222,1189,1893
"8","Schwanthalerhöhe",3043,2008,1794,4837,910,829,1304
"9","Neuhausen - Nymphenburg",7623,2008,5470,13093,2565,2214,2844
"10","Moosach",3696,2008,2803,6499,1080,1050,1566
"11","Milbertshofen - Am Hart",6922,2008,4419,11341,2520,1928,2474
"12","Schwabing - Freimann",6106,2008,4819,10925,1842,1705,2559
"13","Bogenhausen",5365,2008,4249,9614,2110,1077,2178
"14","Berg am Laim",3440,2008,2136,5576,937,1158,1345
"15","Trudering - Riem",3902,2008,2922,6824,1636,760,1506
"16","Ramersdorf - Perlach",7468,2008,5056,12524,2826,1893,2749
"17","Obergiesing - Fasangarten",4348,2008,3872,8220,1082,1016,2250
"18","Untergiesing - Harlaching",4585,2008,3037,7622,1259,1179,2147
"19","Thalkirchen",6331,2008,5329,11660,2480,1060,2791
"20","Hadern",3314,2008,2267,5581,1074,750,1490
"21","Pasing - Obermenzing",4335,2008,3707,8042,1562,1151,1622
"22","Aubing",2296,2008,1912,4208,854,265,1177
"23","Allach - Untermenzing",1755,2008,1440,3195,672,361,722
"24","Feldmoching - Hasenbergl",3681,2008,3139,6820,1528,607,1546
"25","Laim",4280,2008,2526,6806,1308,1160,1812
"1","Altstadt - Lehel",2028,2009,2021,4049,318,819,891
"2","Ludwigsvorstadt - Isarvorstadt",6282,2009,5847,12129,1302,1465,3515
"3","Maxvorstadt",5561,2009,4915,10476,1129,1779,2653
"4","Schwabing - West",6052,2009,4575,10627,1406,1879,2767
"5","Au - Haidhausen",5490,2009,4116,9606,1413,1537,2540
"6","Sendling",3654,2009,3026,6680,723,1166,1765
"7","Sendling - Westpark",4243,2009,3166,7409,1075,1248,1920
"8","Schwanthalerhöhe",2797,2009,2420,5217,660,860,1277
"9","Neuhausen - Nymphenburg",7917,2009,6582,14499,2808,2183,2926
"10","Moosach",3695,2009,3495,7190,1074,1118,1503
"11","Milbertshofen - Am Hart",6614,2009,5176,11790,2189,1888,2537
"12","Schwabing - Freimann",5938,2009,5486,11424,1696,1671,2571
"13","Bogenhausen",5438,2009,5068,10506,2183,1124,2131
"14","Berg am Laim",3419,2009,2465,5884,861,1182,1376
"15","Trudering - Riem",3682,2009,3586,7268,1612,780,1290
"16","Ramersdorf - Perlach",6785,2009,5987,12772,2394,1672,2719
"17","Obergiesing - Fasangarten",4344,2009,4524,8868,1013,1016,2315
"18","Untergiesing - Harlaching",4638,2009,3616,8254,1213,1242,2183
"19","Thalkirchen",6535,2009,6541,13076,2355,1114,3066
"20","Hadern",3301,2009,2704,6005,1166,728,1407
"21","Pasing - Obermenzing",4521,2009,4173,8694,1533,1176,1812
"22","Aubing",2255,2009,2042,4297,831,319,1105
"23","Allach - Untermenzing",1906,2009,1684,3590,628,457,821
"24","Feldmoching - Hasenbergl",3512,2009,3677,7189,1297,594,1621
"25","Laim",4220,2009,3003,7223,1153,1206,1861
"1","Altstadt - Lehel",2005,2010,1418,3423,314,772,919
"2","Ludwigsvorstadt - Isarvorstadt",5830,2010,4205,10035,1281,1321,3228
"3","Maxvorstadt",5802,2010,4523,10325,1185,1825,2792
