"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","id","Basiswert","Name.Basiswert","Typ"
"Mobilitätsziffer","deutsch",2024,"Stadt München",177.6,"1",39313,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2023,"Stadt München",180.6,"1",39710,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2022,"Stadt München",189.5,"1",40141,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2021,"Stadt München",212.7,"1",42088,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2020,"Stadt München",196.1,"1",40324,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2019,"Stadt München",192.7,"1",42953,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2018,"Stadt München",195.6,"1",45300,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2017,"Stadt München",197.2,"1",43769,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2016,"Stadt München",198.3,"1",45033,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2015,"Stadt München",205.9,"1",47085,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2014,"Stadt München",203.7,"1",47443,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2013,"Stadt München",212.4,"1",48758,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2012,"Stadt München",217.1,"1",50774,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2011,"Stadt München",229.4,"1",53991,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2010,"Stadt München",235.7,"1",52680,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2024,"Stadt München",470.1,"1",65870,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2023,"Stadt München",574,"1",74633,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2022,"Stadt München",600.1,"1",92919,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2021,"Stadt München",508.2,"1",62075,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2020,"Stadt München",436.7,"1",50135,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2019,"Stadt München",501.4,"1",67848,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2018,"Stadt München",509.4,"1",68585,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2017,"Stadt München",576.9,"1",69542,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2016,"Stadt München",542.1,"1",75713,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2015,"Stadt München",546.4,"1",77804,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2014,"Stadt München",578,"1",76867,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2013,"Stadt München",596.7,"1",76588,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2012,"Stadt München",555.7,"1",65434,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2011,"Stadt München",543.3,"1",58956,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
