"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","id","Basiswert","Name.Basiswert","Typ","Index"
"Mobilitätsziffer","deutsch",2000,"01 Altstadt - Lehel",307,"2",1165,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug",100
"Mobilitätsziffer","deutsch",2001,"01 Altstadt - Lehel",296.9,"2",1073,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug",92.1030042918455
"Mobilitätsziffer","deutsch",2002,"01 Altstadt - Lehel",303,"2",993,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug",85.2360515021459
"Mobilitätsziffer","deutsch",2003,"01 Altstadt - Lehel",291.4,"2",1049,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug",90.0429184549356
"Mobilitätsziffer","deutsch",2004,"01 Altstadt - Lehel",289.1,"2",1105,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug",94.8497854077253
"Mobilitätsziffer","deutsch",2005,"01 Altstadt - Lehel",296.9,"2",1105,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug",94.8497854077253
"Mobilitätsziffer","deutsch",2006,"01 Altstadt - Lehel",303.9,"2",1138,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug",97.6824034334764
"Mobilitätsziffer","deutsch",2007,"01 Altstadt - Lehel",294.2,"2",1176,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug",100.944206008584
"Mobilitätsziffer","deutsch",2008,"01 Altstadt - Lehel",298.4,"2",1188,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug",101.974248927039
"Mobilitätsziffer","deutsch",2009,"01 Altstadt - Lehel",314.8,"2",1260,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug",108.154506437768
"Mobilitätsziffer","deutsch",2010,"01 Altstadt - Lehel",305.9,"2",1253,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug",107.55364806867
