"Raumbezug","Jahr","Ausprägung","Wert","Index"
"01 Altstadt - Lehel",2000,"deutsch",2263,100
"01 Altstadt - Lehel",2001,"deutsch",2133,94.2554131683606
"01 Altstadt - Lehel",2002,"deutsch",2060,91.0296067167477
"01 Altstadt - Lehel",2003,"deutsch",1959,86.5665046398586
"01 Altstadt - Lehel",2004,"deutsch",2084,92.0901458241273
"01 Altstadt - Lehel",2005,"deutsch",2205,97.4370304904993
"01 Altstadt - Lehel",2006,"deutsch",2165,95.6694653115334
"01 Altstadt - Lehel",2007,"deutsch",2231,98.5859478568272
"01 Altstadt - Lehel",2008,"deutsch",2308,101.988510826337
"01 Altstadt - Lehel",2009,"deutsch",2343,103.535130357932
"01 Altstadt - Lehel",2010,"deutsch",2382,105.258506407424
"01 Altstadt - Lehel",2011,"deutsch",2352,103.932832523199
"01 Altstadt - Lehel",2012,"deutsch",2051,90.6319045514803
"01 Altstadt - Lehel",2013,"deutsch",2154,95.1833848873177
"01 Altstadt - Lehel",2014,"deutsch",2028,89.6155545735749
"01 Altstadt - Lehel",2015,"deutsch",1936,85.5501546619532
"01 Altstadt - Lehel",2016,"deutsch",1974,87.2293415819708
"01 Altstadt - Lehel",2017,"deutsch",1808,79.893946089262
"01 Altstadt - Lehel",2018,"deutsch",1922,84.9315068493151
"01 Altstadt - Lehel",2019,"deutsch",1903,84.0919133893062
"01 Altstadt - Lehel",2020,"deutsch",1860,82.1917808219178
"01 Altstadt - Lehel",2021,"deutsch",2149,94.962439239947
"01 Altstadt - Lehel",2022,"deutsch",1662,73.4423331860362
"01 Altstadt - Lehel",2023,"deutsch",1829,80.8219178082192
"01 Altstadt - Lehel",2024,"deutsch",1696,74.9447635881573
"01 Altstadt - Lehel",2000,"nichtdeutsch",1700,100
"01 Altstadt - Lehel",2001,"nichtdeutsch",1565,92.0588235294118
"01 Altstadt - Lehel",2002,"nichtdeutsch",1354,79.6470588235294
"01 Altstadt - Lehel",2003,"nichtdeutsch",1349,79.3529411764706
"01 Altstadt - Lehel",2004,"nichtdeutsch",1328,78.1176470588235
"01 Altstadt - Lehel",2005,"nichtdeutsch",1322,77.7647058823529
"01 Altstadt - Lehel",2006,"nichtdeutsch",1173,69
"01 Altstadt - Lehel",2007,"nichtdeutsch",1307,76.8823529411765
"01 Altstadt - Lehel",2008,"nichtdeutsch",1377,81
"01 Altstadt - Lehel",2009,"nichtdeutsch",1295,76.1764705882353
"01 Altstadt - Lehel",2010,"nichtdeutsch",1366,80.3529411764706
"01 Altstadt - Lehel",2011,"nichtdeutsch",1573,92.5294117647059
"01 Altstadt - Lehel",2012,"nichtdeutsch",1783,104.882352941176
"01 Altstadt - Lehel",2013,"nichtdeutsch",1940,114.117647058824
"01 Altstadt - Lehel",2014,"nichtdeutsch",1941,114.176470588235
"01 Altstadt - Lehel",2015,"nichtdeutsch",1824,107.294117647059
"01 Altstadt - Lehel",2016,"nichtdeutsch",1887,111
"01 Altstadt - Lehel",2017,"nichtdeutsch",1716,100.941176470588
"01 Altstadt - Lehel",2018,"nichtdeutsch",1761,103.588235294118
"01 Altstadt - Lehel",2019,"nichtdeutsch",1475,86.7647058823529
"01 Altstadt - Lehel",2020,"nichtdeutsch",1183,69.5882352941177
"01 Altstadt - Lehel",2021,"nichtdeutsch",1346,79.1764705882353
"01 Altstadt - Lehel",2022,"nichtdeutsch",2002,117.764705882353
"01 Altstadt - Lehel",2023,"nichtdeutsch",1737,102.176470588235
"01 Altstadt - Lehel",2024,"nichtdeutsch",1649,97
"02 Ludwigsvorstadt - Isarvorstadt",2000,"deutsch",5624,100
"02 Ludwigsvorstadt - Isarvorstadt",2001,"deutsch",5296,94.1678520625889
"02 Ludwigsvorstadt - Isarvorstadt",2002,"deutsch",5088,90.4694167852063
"02 Ludwigsvorstadt - Isarvorstadt",2003,"deutsch",5073,90.2027027027027
"02 Ludwigsvorstadt - Isarvorstadt",2004,"deutsch",5505,97.8840682788051
"02 Ludwigsvorstadt - Isarvorstadt",2005,"deutsch",5416,96.3015647226173
"02 Ludwigsvorstadt - Isarvorstadt",2006,"deutsch",5733,101.938122332859
"02 Ludwigsvorstadt - Isarvorstadt",2007,"deutsch",5949,105.77880512091
"02 Ludwigsvorstadt - Isarvorstadt",2008,"deutsch",6245,111.041963015647
"02 Ludwigsvorstadt - Isarvorstadt",2009,"deutsch",6177,109.832859174964
"02 Ludwigsvorstadt - Isarvorstadt",2010,"deutsch",6237,110.899715504979
"02 Ludwigsvorstadt - Isarvorstadt",2011,"deutsch",5954,105.867709815078
"02 Ludwigsvorstadt - Isarvorstadt",2012,"deutsch",5588,99.3598862019915
"02 Ludwigsvorstadt - Isarvorstadt",2013,"deutsch",5344,95.0213371266003
"02 Ludwigsvorstadt - Isarvorstadt",2014,"deutsch",5277,93.8300142247511
"02 Ludwigsvorstadt - Isarvorstadt",2015,"deutsch",5638,100.24893314367
"02 Ludwigsvorstadt - Isarvorstadt",2016,"deutsch",4845,86.1486486486486
"02 Ludwigsvorstadt - Isarvorstadt",2017,"deutsch",4773,84.8684210526316
"02 Ludwigsvorstadt - Isarvorstadt",2018,"deutsch",4880,86.7709815078236
"02 Ludwigsvorstadt - Isarvorstadt",2019,"deutsch",4784,85.0640113798008
"02 Ludwigsvorstadt - Isarvorstadt",2020,"deutsch",4643,82.5568990042674
"02 Ludwigsvorstadt - Isarvorstadt",2021,"deutsch",5319,94.576813655761
"02 Ludwigsvorstadt - Isarvorstadt",2022,"deutsch",4707,83.6948790896159
"02 Ludwigsvorstadt - Isarvorstadt",2023,"deutsch",4263,75.8001422475107
"02 Ludwigsvorstadt - Isarvorstadt",2024,"deutsch",4373,77.7560455192034
"02 Ludwigsvorstadt - Isarvorstadt",2000,"nichtdeutsch",4964,100
"02 Ludwigsvorstadt - Isarvorstadt",2001,"nichtdeutsch",4901,98.7308622078968
"02 Ludwigsvorstadt - Isarvorstadt",2002,"nichtdeutsch",4731,95.3062046736503
"02 Ludwigsvorstadt - Isarvorstadt",2003,"nichtdeutsch",4448,89.6051571313457
"02 Ludwigsvorstadt - Isarvorstadt",2004,"nichtdeutsch",4667,94.016921837228
"02 Ludwigsvorstadt - Isarvorstadt",2005,"nichtdeutsch",4718,95.044319097502
"02 Ludwigsvorstadt - Isarvorstadt",2006,"nichtdeutsch",4187,84.3473005640612
"02 Ludwigsvorstadt - Isarvorstadt",2007,"nichtdeutsch",4398,88.5979049153908
"02 Ludwigsvorstadt - Isarvorstadt",2008,"nichtdeutsch",4766,96.0112812248187
"02 Ludwigsvorstadt - Isarvorstadt",2009,"nichtdeutsch",4923,99.174053182917
"02 Ludwigsvorstadt - Isarvorstadt",2010,"nichtdeutsch",4805,96.7969379532635
"02 Ludwigsvorstadt - Isarvorstadt",2011,"nichtdeutsch",4915,99.0128928283642
"02 Ludwigsvorstadt - Isarvorstadt",2012,"nichtdeutsch",5410,108.984689766317
"02 Ludwigsvorstadt - Isarvorstadt",2013,"nichtdeutsch",6088,122.643029814666
"02 Ludwigsvorstadt - Isarvorstadt",2014,"nichtdeutsch",6962,140.249798549557
"02 Ludwigsvorstadt - Isarvorstadt",2015,"nichtdeutsch",7048,141.982272360999
"02 Ludwigsvorstadt - Isarvorstadt",2016,"nichtdeutsch",5804,116.921837228042
"02 Ludwigsvorstadt - Isarvorstadt",2017,"nichtdeutsch",5286,106.486704270749
"02 Ludwigsvorstadt - Isarvorstadt",2018,"nichtdeutsch",4889,98.4891216760677
"02 Ludwigsvorstadt - Isarvorstadt",2019,"nichtdeutsch",4511,90.8742949234488
"02 Ludwigsvorstadt - Isarvorstadt",2020,"nichtdeutsch",3626,73.0459307010476
"02 Ludwigsvorstadt - Isarvorstadt",2021,"nichtdeutsch",4007,80.7211925866237
"02 Ludwigsvorstadt - Isarvorstadt",2022,"nichtdeutsch",5640,113.61804995971
"02 Ludwigsvorstadt - Isarvorstadt",2023,"nichtdeutsch",4192,84.4480257856567
"02 Ludwigsvorstadt - Isarvorstadt",2024,"nichtdeutsch",3779,76.1281224818695
"03 Maxvorstadt",2000,"deutsch",4679,100
"03 Maxvorstadt",2001,"deutsch",4589,98.0765120752297
"03 Maxvorstadt",2002,"deutsch",4468,95.4904894208164
"03 Maxvorstadt",2003,"deutsch",4579,97.8627911946997
"03 Maxvorstadt",2004,"deutsch",5144,109.938020944646
"03 Maxvorstadt",2005,"deutsch",5175,110.600555674289
"03 Maxvorstadt",2006,"deutsch",6387,136.503526394529
