"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","id","Basiswert","Name.Basiswert"
"Mobilitätsziffer","deutsch",2024,"Stadt München",177.6,"1",39313,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"Stadt München",177.6,"2",55560,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"Stadt München",177.6,"3",46797,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"Stadt München",177.6,"4",55560,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"Stadt München",177.6,"5",1110801.6,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"01 Altstadt - Lehel",224.3,"1",811,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"01 Altstadt - Lehel",224.3,"2",885,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"01 Altstadt - Lehel",224.3,"3",768,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"01 Altstadt - Lehel",224.3,"4",1024,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"01 Altstadt - Lehel",224.3,"5",15549.8,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"02 Ludwigsvorstadt - Isarvorstadt",247.7,"1",2011,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"02 Ludwigsvorstadt - Isarvorstadt",247.7,"2",2362,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"02 Ludwigsvorstadt - Isarvorstadt",247.7,"3",1983,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"02 Ludwigsvorstadt - Isarvorstadt",247.7,"4",2741,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"02 Ludwigsvorstadt - Isarvorstadt",247.7,"5",36723.8,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"03 Maxvorstadt",275.2,"1",2493,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"03 Maxvorstadt",275.2,"2",2656,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"03 Maxvorstadt",275.2,"3",2286,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"03 Maxvorstadt",275.2,"4",3091,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"03 Maxvorstadt",275.2,"5",38247.8,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"04 Schwabing - West",215,"1",2383,"außerstädtisch Zugezogene (deutsch)"
