"Jahr","Raumbezug","Ausprägung","Zuzuege"
2000,"01 Altstadt - Lehel","deutsch",2263
2000,"01 Altstadt - Lehel","nichtdeutsch",1700
2000,"02 Ludwigsvorstadt - Isarvorstadt","deutsch",5624
2000,"02 Ludwigsvorstadt - Isarvorstadt","nichtdeutsch",4964
2000,"03 Maxvorstadt","deutsch",4679
2000,"03 Maxvorstadt","nichtdeutsch",3545
2000,"04 Schwabing - West","deutsch",5339
2000,"04 Schwabing - West","nichtdeutsch",3889
2000,"05 Au - Haidhausen","deutsch",5279
2000,"05 Au - Haidhausen","nichtdeutsch",3662
2000,"06 Sendling","deutsch",3149
2000,"06 Sendling","nichtdeutsch",2348
2000,"07 Sendling - Westpark","deutsch",3810
2000,"07 Sendling - Westpark","nichtdeutsch",3069
2000,"08 Schwanthalerhöhe","deutsch",2097
2000,"08 Schwanthalerhöhe","nichtdeutsch",2520
2000,"09 Neuhausen - Nymphenburg","deutsch",7334
2000,"09 Neuhausen - Nymphenburg","nichtdeutsch",5816
2000,"10 Moosach","deutsch",3469
2000,"10 Moosach","nichtdeutsch",3381
2000,"11 Milbertshofen - Am Hart","deutsch",5253
2000,"11 Milbertshofen - Am Hart","nichtdeutsch",6316
2000,"12 Schwabing - Freimann","deutsch",5744
2000,"12 Schwabing - Freimann","nichtdeutsch",4669
2000,"13 Bogenhausen","deutsch",5981
2000,"13 Bogenhausen","nichtdeutsch",3876
2000,"14 Berg am Laim","deutsch",3381
2000,"14 Berg am Laim","nichtdeutsch",2871
2000,"15 Trudering - Riem","deutsch",4680
2000,"15 Trudering - Riem","nichtdeutsch",2692
2000,"16 Ramersdorf - Perlach","deutsch",7029
2000,"16 Ramersdorf - Perlach","nichtdeutsch",6213
2000,"17 Obergiesing - Fasangarten","deutsch",4026
2000,"17 Obergiesing - Fasangarten","nichtdeutsch",4849
2000,"18 Untergiesing - Harlaching","deutsch",4858
2000,"18 Untergiesing - Harlaching","nichtdeutsch",2730
2000,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","deutsch",6826
2000,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","nichtdeutsch",4205
2000,"20 Hadern","deutsch",3182
2000,"20 Hadern","nichtdeutsch",1875
2000,"21 Pasing - Obermenzing","deutsch",5360
2000,"21 Pasing - Obermenzing","nichtdeutsch",3546
2000,"22 Aubing - Lochhausen - Langwied","deutsch",2492
2000,"22 Aubing - Lochhausen - Langwied","nichtdeutsch",1806
2000,"23 Allach - Untermenzing","deutsch",1921
2000,"23 Allach - Untermenzing","nichtdeutsch",1512
2000,"24 Feldmoching - Hasenbergl","deutsch",4093
2000,"24 Feldmoching - Hasenbergl","nichtdeutsch",3921
2000,"25 Laim","deutsch",4191
